shed,bed:bled:fled:sled:sped,head:bread:dread:dead:tread:spread,aced:axed:seed:sued:iced,bead:mead:knead
ace,lace:face:mace:pace:race:grace,base:case:chase,terrace:menace:surface,ease:ice
kite,quite:smite:white,sight:wright,suite:elite:petite,bought:weight
that,chat:hat:shat,brat:flat:blat,what,beat:goat:swat
plate,kate:date:fate:gate:hate:late:mate,eight:weight,agate:karate:pirate,bright:wight:tight
cue,blue:hue:sue:undue,you:few:view:zoo:do:to,pique:rogue:segue,thou:sew:go
sour,dour:hour:our:flour,how're:cower:flower,tour:pour:four,fewer:lower:sewer
casette,corvette:dinette:baguette,beget:cadet:duet,ballet:chalet:fillet,latte:butte:matte
mice,price:slice:twice,vise:precise,juice:voice:bodice,bruise:wise
brad,chad:glad:grad,add,bead:dead:quad:goad,odd:rudd
bee,flee:dee:glee,flea:brie:sea,puree:melee:entree,adonis:tennis
love,glove:shove:above,of,clove:drove:move,aloof:proof:hoof
band,gland:grand:stand:land,canned:banned:manned,wand,donned:grinned:gunned
grey,prey:they:fey,stay:fillet:neigh,key:joey:abbey,basket:bonnet
grave,brave:crave:shave,they've:waive,eave:have,sleeve:eve:cleave:weave
by,my:dry:fly:cry,aye:buy:eye:high:sigh,any:joy:soy,neigh:weigh
bit,zit:pit:tit,mitt,bait:gait:suit,late:mate:date
war,oar:boar:roar,for:your,bar:far:par:star,are
cough,trough,off:doff:scoff,bough:dough:enough:rough,blow:bro:tow:
good,hood:stood:wood,could:should:would,food:mood,crude:chewed:dude:lewd:rude
wreath,heath:sheath:beneath,keith:teeth,death:breath,meth:seth:beth
stone,bone:lone:throne,blown:groan:own,none:done:gone:one,clown:gown:drown
hurt,blurt:curt:spurt,dirt:flirt:pert:shirt:skirt,court,fort:port:quart
water,alma mater,daughter:slaughter,eater:cater:later:tater,laughter:freighter:traitor
womb,tomb,fume:plume:hume:flume,bomb:comb:aplomb,mom:palm:calm:prom
hare,dare:rare:care,bear:pear,are,dear:fear:gear:hear
cow,pow:now:how,ciao:thou:mao,low:blow:grow:mow,you
height,sleight,quite:bite:night:tight,weight:eight,bait:wait:straight
blew,new:hew:crew:drew,shoe:sioux:true:you,sew,thou:toe
paid,laid:maid:raid,blade:glade:grade,said,bed:bread:head
