"346","5","KINESTHETIC","0","29","1","1"
"347","5","KINESTHETIC","1","35","0","1"
"348","5","KINESTHETIC","2","30","1","1"
"349","5","KINESTHETIC","3","29","1","1"
"350","5","KINESTHETIC","4","32","1","1"
"351","5","KINESTHETIC","5","38","1","1"
"352","5","KINESTHETIC","6","38","1","1"
"353","5","KINESTHETIC","7","35","1","1"
"354","5","KINESTHETIC","8","36","0","1"
"355","5","KINESTHETIC","9","35","1","1"
"356","5","KINESTHETIC","10","40","0","1"
"357","5","KINESTHETIC","11","36","1","1"
"358","5","KINESTHETIC","12","36","0","1"
"359","5","KINESTHETIC","13","33","0","1"
"360","5","KINESTHETIC","14","29","0","1"
"361","5","KINESTHETIC","0","35","1","0"
"362","5","KINESTHETIC","1","35","1","0"
"363","5","KINESTHETIC","2","35","1","0"
"364","5","KINESTHETIC","3","35","1","0"
"365","5","KINESTHETIC","4","35","1","0"
"366","5","KINESTHETIC","5","35","0","0"
"367","5","KINESTHETIC","6","35","1","0"
"368","5","KINESTHETIC","7","35","0","0"
"369","5","KINESTHETIC","8","35","0","0"
"370","5","KINESTHETIC","9","35","1","0"
"371","5","VERBAL","0","6","0","1"
"372","5","VERBAL","1","5","1","1"
"373","5","VERBAL","2","5","1","1"
"374","5","VERBAL","3","6","1","1"
"375","5","VERBAL","4","6","1","1"
"376","5","VERBAL","5","6","1","1"
"377","5","VERBAL","6","7","1","1"
"378","5","VERBAL","7","9","0","1"
"379","5","VERBAL","8","8","0","1"
"380","5","VERBAL","9","7","1","1"
"381","5","VERBAL","10","6","1","1"
"382","5","VERBAL","11","8","1","1"
"383","5","VERBAL","12","7","1","1"
"384","5","VERBAL","13","7","0","1"
"385","5","VERBAL","14","6","0","1"
"386","5","VERBAL","0","6","1","0"
"387","5","VERBAL","1","6","1","0"
"388","5","VERBAL","2","6","1","0"
"389","5","VERBAL","3","6","0","0"
"390","5","VERBAL","4","6","0","0"
"391","5","VERBAL","5","6","1","0"
"392","5","VERBAL","6","6","1","0"
"393","5","VERBAL","7","6","0","0"
"394","5","VERBAL","8","6","1","0"
"395","5","VERBAL","9","6","1","0"
"396","5","VISUAL","0","25","1","1"
"397","5","VISUAL","1","22","0","1"
"398","5","VISUAL","2","25","1","1"
"399","5","VISUAL","3","26","1","1"
"400","5","VISUAL","4","28","1","1"
"401","5","VISUAL","5","24","0","1"
"402","5","VISUAL","6","29","1","1"
"403","5","VISUAL","7","29","1","1"
"404","5","VISUAL","8","27","1","1"
"405","5","VISUAL","9","23","1","1"
"406","5","VISUAL","10","22","0","1"
"407","5","VISUAL","11","27","1","1"
"408","5","VISUAL","12","25","1","1"
"409","5","VISUAL","13","24","1","1"
"410","5","VISUAL","14","23","1","1"
"411","5","VISUAL","0","20","1","0"
"412","5","VISUAL","1","20","1","0"
"413","5","VISUAL","2","20","0","0"
"414","5","VISUAL","3","20","1","0"
